channel,id,name,alt_names,is_main,broadcast_area,timezones,languages,format
002RadioTV.do,SD,SD,,TRUE,c/DO,America/Santo_Domingo,spa,480i
0TV.dk,SD,SD,,TRUE,c/DK,Europe/Copenhagen,dan,576i
10.au,Adelaide,Adelaide,,FALSE,s/AU-SA,Australia/Adelaide,eng,576i
10.au,Brisbane,Brisbane,,FALSE,s/AU-QLD,Australia/Brisbane,eng,576i
10.au,Hobart,Hobart,,FALSE,s/AU-TAS,Australia/Hobart,eng,576i
10.au,Melbourne,Melbourne,,FALSE,s/AU-VIC,Australia/Melbourne,eng,576i
10.au,Perth,Perth,,FALSE,s/AU-WA,Australia/Perth,eng,576i
10.au,Sydney,Sydney,,TRUE,s/AU-NSW,Australia/Sydney,eng,576i
1000xHoraTV.uy,SD,SD,,TRUE,c/UY,America/Montevideo,spa,576i
1001Noites.br,SD,SD,,TRUE,c/BR,America/Sao_Paulo,por,480i
100AutoMotoTV.bg,SD,SD,,TRUE,c/BG,Europe/Sofia,bul;eng,576i
100NEWS.ua,SD,SD,,TRUE,c/UA,Europe/Kyiv,rus;ukr,576i
100NLTV.nl,SD,SD,,TRUE,c/NL,Europe/Amsterdam,nld,576i
101tvAntequera.es,SD,SD,,TRUE,s/ES-AN,Europe/Madrid,spa,576i
101tvAxarquia.es,SD,SD,,TRUE,s/ES-AN,Europe/Madrid,spa,576i
101tvCadiz.es,SD,SD,,TRUE,s/ES-AN,Europe/Madrid,spa,576i
101tvMalaga.es,SD,SD,,TRUE,s/ES-AN,Europe/Madrid,spa,576i
101tvRonda.es,SD,SD,,TRUE,s/ES-AN,Europe/Madrid,spa,576i
101tvSevilla.es,SD,SD,,TRUE,s/ES-AN,Europe/Madrid,spa,576i
10Bold.au,Adelaide,Adelaide,,FALSE,s/AU-SA,Australia/Adelaide,eng,576i
10Bold.au,Brisbane,Brisbane,,FALSE,s/AU-QLD,Australia/Brisbane,eng,576i
10Bold.au,Hobart,Hobart,,FALSE,s/AU-TAS,Australia/Hobart,eng,576i
10Bold.au,Melbourne,Melbourne,,FALSE,s/AU-VIC,Australia/Melbourne,eng,576i
10Bold.au,Perth,Perth,,FALSE,s/AU-WA,Australia/Perth,eng,576i
10Bold.au,Sydney,Sydney,,TRUE,ct/AUSYD,Australia/Sydney,eng,576i
10Channel.gr,SD,SD,,TRUE,c/GR,Europe/Athens,ell,576i
10emeRueTV.cd,SD,SD,,TRUE,c/CD,Africa/Kinshasa,fra,576i
10HD.au,Adelaide,Adelaide,,FALSE,s/AU-SA,Australia/Adelaide,eng,1080i
10HD.au,Brisbane,Brisbane,,FALSE,s/AU-QLD,Australia/Brisbane,eng,1080i
10HD.au,Hobart,Hobart,,FALSE,s/AU-TAS,Australia/Hobart,eng,1080i
10HD.au,Melbourne,Melbourne,,FALSE,s/AU-VIC,Australia/Melbourne,eng,1080i
10HD.au,Perth,Perth,,FALSE,s/AU-WA,Australia/Perth,eng,1080i
10HD.au,Sydney,Sydney,,TRUE,s/AU-NSW,Australia/Sydney,eng,1080i
10Peach.au,Adelaide,Adelaide,,FALSE,s/AU-SA,Australia/Adelaide,eng,576i
10Peach.au,Brisbane,Brisbane,,FALSE,s/AU-QLD,Australia/Brisbane,eng,576i
10Peach.au,Hobart,Hobart,,FALSE,s/AU-TAS,Australia/Hobart,eng,576i
10Peach.au,Melbourne,Melbourne,,FALSE,s/AU-VIC,Australia/Melbourne,eng,576i
10Peach.au,Perth,Perth,,FALSE,s/AU-WA,Australia/Perth,eng,576i
10Peach.au,Sydney,Sydney,,TRUE,s/AU-NSW,Australia/Sydney,eng,576i
10Shake.au,Adelaide,Adelaide,,FALSE,c/AU,Australia/Adelaide,eng,576i
10Shake.au,Brisbane,Brisbane,,FALSE,s/AU-QLD,Australia/Brisbane,eng,576i
10Shake.au,Hobart,Hobart,,FALSE,s/AU-TAS,Australia/Hobart,eng,576i
10Shake.au,Melbourne,Melbourne,,FALSE,s/AU-VIC,Australia/Melbourne,eng,576i
10Shake.au,Perth,Perth,,FALSE,s/AU-WA,Australia/Perth,eng,576i
10Shake.au,Sydney,Sydney,,TRUE,s/AU-NSW,Australia/Sydney,eng,576i
10TV.in,SD,SD,,TRUE,c/IN,Asia/Kolkata,tel,576i
10YearsYounger.us,UK,UK,,TRUE,c/UK,Europe/London,eng,576i
111TV.it,SD,SD,,TRUE,c/IT,Europe/Rome,ita;eng,576i
114TV.az,SD,SD,,TRUE,c/AZ,Asia/Baku,aze,576i
11TV.af,SD,SD,,TRUE,c/AF,Asia/Kabul,pus,576i
11TV.es,SD,SD,,TRUE,s/ES-CB,America/Chicago,spa,576i
123tv.de,SD,SD,,TRUE,c/DE,Europe/Berlin,deu,576i
123TV.ve,SD,SD,,TRUE,c/VE,America/Caracas,spa,480i
12tv.es,SD,SD,,TRUE,s/ES-VC,Europe/Madrid,spa,576i
12TVParma.it,SD,SD,,TRUE,c/IT,Europe/Rome,ita,576i
12VisionEncarnacion.mx,SD,SD,,TRUE,c/MX,America/Mexico_City,spa,480i
13C.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,480i
13Cocina.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,576i
13E.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,480i
13emeRue.fr,HD,HD,,FALSE,c/FR;c/BE;c/CH;c/LU;c/MC,Europe/Paris,fra,1080i
13emeRue.fr,SD,SD,,TRUE,c/FR;c/BE;c/CH;c/LU;c/MC,Europe/Paris,fra,576i
13Festival.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,480i
13Humor.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,480i
13i.cl,SD,SD,,TRUE,r/HISPAM,America/Santiago,spa,480i
13Kids.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,480i
13MaxTelevision.ar,SD,SD,,TRUE,ct/ARCNQ,America/Argentina/Cordoba,spa,576i
13P.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,480i
13Pop.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,576i
13Realities.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,480i
13Rec.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,480i
13SiamThai.th,SD,SD,,TRUE,c/TH,Asia/Bangkok,tha,576i
13T.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,480i
13thStreet.au,HD,HD,,FALSE,c/AU,Australia/Sydney,eng,1080i
13thStreet.au,Plus2,+2,,FALSE,c/AU,Australia/Sydney,eng,576i
13thStreet.au,SD,SD,,TRUE,c/AU,Australia/Sydney,eng,576i
13thStreet.nl,SD,SD,,TRUE,c/NL,Europe/Amsterdam,deu,576i
13thStreetUniversal.de,HD,HD,,FALSE,c/DE,Europe/Berlin,deu,1080i
13thStreetUniversal.de,SD,SD,,TRUE,c/DE,Europe/Berlin,deu,576i
13tv.pl,SD,SD,,TRUE,c/PL,Europe/Warsaw,pol,576i
13Ulica.pl,SD,SD,,TRUE,c/PL,Europe/Warsaw,pol,576i
13Viajes.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,576i
151BPB.cl,SD,SD,,TRUE,c/CL,America/Santiago,spa,576i
15PlusMusic.ru,HD,HD,,TRUE,c/RU,Europe/Moscow,rus,1080p
15TV.mx,SD,SD,,TRUE,ct/MXSBN,America/Mexico_City,spa,480i
16AnnieIncinta.us,Italy,Italy,,TRUE,c/IT,Europe/Rome,ita,576i
16tvBudapest.hu,SD,SD,,TRUE,c/HU,Europe/Budapest,hun,576i
1730SAT1Bayern.de,SD,SD,,TRUE,c/DE,Europe/Berlin,deu,576i
1730SAT1LIVE.de,SD,SD,,TRUE,c/DE,Europe/Berlin,deu,576i
1730SAT1REGIONALHamburgSchleswigHolstein.de,SD,SD,,TRUE,c/DE,Europe/Berlin,deu,576i
1730SAT1REGIONALLowerSaxonyBremen.de,SD,SD,,TRUE,c/DE,Europe/Berlin,deu,576i
18Channel.cn,SD,SD,,TRUE,c/CN,Asia/Shanghai,zho,576i
192TV.nl,SD,SD,,TRUE,c/NL,Europe/Amsterdam,nld,576i
1AlmereTV.nl,SD,SD,,TRUE,c/NL,Europe/Amsterdam,nld,576i
1FLTV.li,SD,SD,,TRUE,c/LI,Europe/Vaduz,deu,576i
1FSTV.za,SD,SD,,TRUE,c/ZA,Africa/Johannesburg,eng,576i
1HDMusicTelevision.ru,SD,SD,,TRUE,c/RU,Europe/Moscow,rus,576i
1KBR.ru,SD,SD,,TRUE,s/RU-KB,Europe/Moscow,rus,576i
1KZNTV.za,SD,SD,,TRUE,c/ZA,Africa/Johannesburg,eng,576i
1Magic.za,SD,SD,,TRUE,c/ZA,Africa/Johannesburg,eng,576i
1max.za,SD,SD,,TRUE,c/ZA,Africa/Johannesburg,eng,576i
1NOMO.vu,SD,SD,,TRUE,c/VU,Pacific/Efate,eng;bis,576i
1Plus1.ua,SD,SD,,TRUE,c/UA,Europe/Kyiv,ukr,576i
1Plus1International.ua,SD,SD,,TRUE,r/EUR,Europe/Kyiv,ukr,576i
1Plus1Marafon.ua,SD,SD,,TRUE,c/UA,Europe/Kyiv,ukr,576i
1Plus1Ukraina.ua,SD,SD,,TRUE,c/UA,Europe/Kyiv,ukr,576i
1Plus2.lv,SD,SD,,TRUE,c/LV,Europe/Riga,lav,576i
1Severnyy.kz,SD,SD,,TRUE,c/KZ,Asia/Almaty,kaz;rus,576i
1Sports.in,SD,SD,,TRUE,c/IN,Asia/Kolkata,eng,576i
1TV.af,SD,SD,,TRUE,c/AF,Asia/Kabul,prd,576i
1TV.ge,SD,SD,,TRUE,c/GE,Asia/Tbilisi,kat,576i
1TV.md,SD,SD,,TRUE,c/MD,Europe/Chisinau,ron;rus,576i
1TVPersian.ir,SD,SD,,TRUE,c/IR,America/Santiago,fas,480i
1TwenteTV.nl,SD,SD,,TRUE,c/NL,Europe/Amsterdam,nld,576i
1YesNews.in,SD,SD,,TRUE,c/IN,Asia/Kolkata,tam,576i
20.it,HD,HD,,FALSE,c/IT,Europe/Amsterdam,ita,1080i
20.it,SD,SD,,TRUE,c/IT,Europe/Amsterdam,ita,576i
20MinutesTV.fr,SD,SD,,TRUE,c/FR,Europe/Paris,fra,576i
218News.ly,SD,SD,,TRUE,c/LY,Asia/Amman,ara,576i
218TV.ly,SD,SD,,TRUE,c/LY,Asia/Amman,ara,576i
21Junior.xk,SD,SD,,TRUE,c/XK,Europe/Belgrade,sqi,576i
21Mix.xk,SD,SD,,TRUE,c/XK,Europe/Belgrade,sqi,576i
21Plus.xk,SD,SD,,TRUE,c/XK,Europe/Belgrade,sqi,576i
21Popullore.xk,SD,SD,,TRUE,c/XK,Europe/Belgrade,sqi,576i
21Sextury.us,SD,SD,,TRUE,c/US,America/New_York,eng,480i
22ArabTV.sa,SD,SD,,TRUE,c/SA,Asia/Riyadh,ara,576i
22ScopeNews.in,SD,SD,,TRUE,c/IN,Asia/Kolkata,hin,576i
24.sk,SD,SD,,TRUE,c/SK,Europe/Bratislava,slk,576i
247.ec,SD,SD,,TRUE,c/EC,America/Guayaquil,spa,480i
